task,kind,family,multiple,mean_percent,sd_percent,relative_l2_percent,failures,worst
relaxation,nie_mlp,new,2,1.4049,0.0190,1.6409,0,5.2475
relaxation,nie_mlp,new,4,2.6575,1.4305,2.7351,0,11.6491
relaxation,nie_mlp,new,8,5.3329,4.0518,5.1530,0,24.8191
relaxation,nie_mlp,shift,1,2.6553,0.5385,5.0630,0,6.6583
relaxation,nie_mlp,shift,2,2.9594,0.4455,5.1484,0,8.8965
relaxation,nie_mlp,shift,4,3.5804,0.1957,5.6377,0,10.4132
relaxation,nie_mlp,shift,8,5.2830,1.9793,7.3558,0,24.0116
relaxation,node32,new,1,3.7746,0.3521,4.7286,0,12.9925
relaxation,node32,new,2,11.5194,1.5620,12.1505,0,45.4810
relaxation,node32,new,4,31.6525,5.4583,32.0459,0,111.8699
relaxation,node32,new,8,68.4129,25.6987,70.5113,0,282.8106
relaxation,node32,shift,1,12.7858,1.4348,24.6665,0,44.7627
relaxation,node32,shift,2,25.9524,6.0088,39.2871,0,74.5867
relaxation,node32,shift,4,74.4013,21.0395,107.8035,0,204.2036
relaxation,node32,shift,8,186.8299,79.2416,279.4091,0,583.3433
relaxation,node8,new,1,0.6221,0.1758,0.7327,0,3.7612
relaxation,node8,new,2,1.2390,0.2342,1.3984,0,4.8849
relaxation,node8,new,4,4.2196,1.4249,5.1286,0,10.2017
relaxation,node8,new,8,12.1829,7.9630,14.7313,0,25.1948
relaxation,node8,shift,1,4.4341,2.5070,9.0350,0,18.7781
relaxation,node8,shift,2,4.4625,1.8005,7.6151,0,19.4941
relaxation,node8,shift,4,6.1621,0.5400,10.8826,0,18.6771
relaxation,node8,shift,8,12.1597,6.4357,22.3694,0,26.4751
thermal_sensors,anie_lag,new,1,3.1947,1.0027,4.3912,0,9.7654
thermal_sensors,anie_lag,new,2,5.0135,0.1465,4.9808,0,14.3364
thermal_sensors,anie_lag,new,4,8.0556,3.4503,7.6885,0,20.1920
thermal_sensors,anie_lag,new,8,15.0250,12.0241,14.6511,0,50.8051
thermal_sensors,anie_lag,shift,1,7.7374,1.1589,15.7285,0,19.9061
thermal_sensors,anie_lag,shift,2,8.2798,0.1551,14.9211,0,19.5726
thermal_sensors,anie_lag,shift,4,11.7794,5.2002,19.1704,0,31.3992
thermal_sensors,anie_lag,shift,8,22.2939,19.7481,36.1585,0,64.6199
thermal_sensors,ndde4,new,1,0.7525,0.1614,0.9378,0,4.0109
thermal_sensors,ndde4,new,2,1.3987,0.3395,1.2553,0,8.6337
thermal_sensors,ndde4,new,4,1.6156,0.4057,1.3466,0,7.9620
thermal_sensors,ndde4,new,8,1.6015,0.3808,1.3785,0,6.8420
thermal_sensors,ndde4,shift,1,7.0119,0.1448,17.2958,0,25.2932
thermal_sensors,ndde4,shift,2,7.2549,0.1524,17.7046,0,25.3322
thermal_sensors,ndde4,shift,4,7.3264,0.0572,17.9366,0,25.0847
thermal_sensors,ndde4,shift,8,7.5710,0.0095,18.3379,0,23.5515
thermal_sensors,nie_exp,new,1,3.7592,0.2082,5.5003,0,15.5199
thermal_sensors,nie_exp,new,2,3.9595,0.3373,5.1838,0,13.4291
thermal_sensors,nie_exp,new,4,4.0241,0.2252,4.7493,0,10.6613
thermal_sensors,nie_exp,new,8,4.0909,0.1252,4.7367,0,9.9178
thermal_sensors,nie_exp,shift,1,8.1372,0.2122,19.0193,0,21.4815
thermal_sensors,nie_exp,shift,2,7.8760,0.0807,18.5808,0,20.1461
thermal_sensors,nie_exp,shift,4,7.7296,0.1764,18.4417,0,18.9628
thermal_sensors,nie_exp,shift,8,7.9644,0.3298,18.4513,0,18.0575
thermal_sensors,nie_fourier,new,1,2.4901,0.1081,3.9603,0,8.7011
thermal_sensors,nie_fourier,new,2,14.7144,0.7922,14.0678,0,40.7776
thermal_sensors,nie_fourier,new,4,33.3781,2.2327,20.7738,0,137.4293
thermal_sensors,nie_fourier,new,8,46.3837,2.5957,28.0021,0,178.1088
thermal_sensors,nie_fourier,shift,1,8.9869,0.1744,22.0094,0,22.1620
thermal_sensors,nie_fourier,shift,2,12.5089,0.1227,25.3644,0,28.5188
thermal_sensors,nie_fourier,shift,4,18.7010,0.5367,29.0980,0,63.2140
thermal_sensors,nie_fourier,shift,8,26.0513,0.9073,33.4420,0,124.8589
thermal_sensors,nie_mlp,new,1,4.0257,0.0329,5.3778,0,11.1085
thermal_sensors,nie_mlp,new,2,5.2124,0.1759,5.3856,0,15.0104
thermal_sensors,nie_mlp,new,4,5.7407,0.2632,5.5064,0,19.1793
thermal_sensors,nie_mlp,new,8,5.5625,0.2496,5.6166,0,15.6280
thermal_sensors,nie_mlp,shift,1,9.3052,0.1053,20.7134,0,21.5506
thermal_sensors,nie_mlp,shift,2,9.3642,0.1899,20.5572,0,21.4634
