task,kind,family,multiple,refinement,mean_percent,sd_percent,failures
wave1d,node32,new,8,2,167.2672,14.2470,0
wave1d,node32,shift,1,2,97.9878,5.7887,0
wave1d,node32,shift,2,2,105.9605,5.8895,0
wave1d,node32,shift,4,2,149.3086,23.3964,0
wave1d,node32,shift,8,2,233.9008,51.8199,0
wave1d,node8,new,1,2,4.2235,0.2476,0
wave1d,node8,new,2,2,5.5561,1.0398,0
wave1d,node8,new,4,2,10.6006,4.3731,0
wave1d,node8,new,8,2,22.9624,9.9522,0
wave1d,node8,shift,1,2,83.5669,3.9863,0
wave1d,node8,shift,2,2,84.9302,5.7566,0
wave1d,node8,shift,4,2,86.5074,6.2431,0
wave1d,node8,shift,8,2,91.9874,7.2338,0
